,Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.,Tit
102,97,Por,SECULIN,Chievo,1,1,0,0.3
103,2182,Dc,RIGIONE,Chievo,1,1,0,0.1
104,2663,Dc,TANASIJEVIC,Chievo,1,1,0,0.1
105,2185,C,GAUDINO,Chievo,1,1,0,0.2
106,2334,A,LERIS,Chievo,1,1,0,0.35
107,2819,Pc,CAPUTO,Empoli,13,13,0,0.9
108,447,Pc,LA GUMINA,Empoli,12,12,0,0.75
109,148,C;T,KRUNIC,Empoli,9,9,0,0.9
110,2124,T,ZAJC,Empoli,8,8,0,0.9
111,166,Ds;E,PASQUAL,Empoli,7,7,0,0.75
112,492,Dc,SILVESTRE,Empoli,7,7,0,0.9
113,2814,Por,PROVEDEL,Empoli,6,6,0,0.8
114,2750,Pc,MRAZ,Empoli,6,6,0,0.5
115,471,C;T,UCAN,Empoli,6,6,0,0.55
116,154,Pc,MCHEDLIDZE,Empoli,5,5,0,0.5
117,173,M;C,CAPEZZI,Empoli,5,5,0,0.8
118,2816,Dd;E,DI LORENZO,Empoli,5,5,0,0.9
119,2064,Dd;Ds;Dc,VESELI,Empoli,5,5,0,0.6
120,48,Dc,MAIETTA,Empoli,5,5,0,0.7
121,2818,C,BENNACER,Empoli,5,5,0,0.8
122,555,M;C,ACQUAH,Empoli,4,4,0,0.6
123,356,Ds;E,ANTONELLI,Empoli,4,4,0,0.65
124,2753,Dc,MARCJANIK,Empoli,4,4,0,0.4
125,2817,Dd;E;M,UNTERSEE,Empoli,3,3,0,0.45
126,2752,Dc,RASMUSSEN,Empoli,3,3,0,0.7
127,83,C,LOLLO,Empoli,3,3,0,0.45
128,718,Pc,RODRIGUEZ A,Empoli,2,2,0,
129,56,M;C,BRIGHI,Empoli,2,2,0,0.5
130,2815,Por,TERRACCIANO,Empoli,1,1,0,0.4
131,1941,Por,FULIGNATI,Empoli,1,1,0,0.4
132,2152,Pc,JAKUPOVIC,Empoli,1,1,0,0.4
133,2857,C;T,TRAORE' HJ,Empoli,1,1,0,
134,2002,W;A,CHIESA,Fiorentina,25,25,0,0.9
135,2061,Pc,SIMEONE,Fiorentina,25,25,0,0.9
136,2215,C,VERETOUT,Fiorentina,17,17,0,0.9
137,1998,A,PJACA,Fiorentina,16,16,0,0.75
138,2859,A,MIRALLAS,Fiorentina,14,14,0,0.65
139,606,A,THEREAU,Fiorentina,13,13,0,0.3
140,1967,C;T,GERSON,Fiorentina,11,11,0,0.65
141,557,C,BENASSI,Fiorentina,11,11,0,0.9
142,2387,Por,LAFONT,Fiorentina,10,10,0,0.9
143,2309,Dc,PEZZELLA GER,Fiorentina,10,10,0,
144,2290,W;T,EYSSERIC,Fiorentina,8,8,0,0.4
145,2659,M;C,DABO,Fiorentina,7,7,0,0.65
146,2164,Dd;Dc,MILENKOVIC,Fiorentina,7,7,0,0.85
147,1891,Dd;Dc,CECCHERINI,Fiorentina,7,7,0,0.55
148,2863,C,FERNANDES,Fiorentina,7,7,0,0.6
149,252,Ds;E,BIRAGHI,Fiorentina,6,6,0,0.85
150,2165,Dc,VITOR HUGO,Fiorentina,6,6,0,0.75
151,2830,M;C,NORGAARD,Fiorentina,5,5,0,0.6
152,1918,Dd;E,DIKS,Fiorentina,4,4,0,0.4
153,2754,Ds;Dc,HANCKO,Fiorentina,3,3,0,0.45
154,141,Dd;E,LAURINI,Fiorentina,3,3,0,0.5
155,2075,M;C,CRISTOFORO,Fiorentina,2,2,0,0.3
156,2087,Ds;E,OLIVERA M,Fiorentina,2,2,0,
157,2207,A,ZEKHNINI,Fiorentina,2,2,0,0.1
158,2839,A,SOTTIL,Fiorentina,2,2,0,0.1
159,2874,Por,GHIDOTTI,Fiorentina,1,1,0,
160,1917,Por,DRAGOWSKI,Fiorentina,1,1,0,0.3
161,2841,Pc,VLAHOVIC,Fiorentina,1,1,0,0.45
162,2840,Pc,GRAICIAR,Fiorentina,1,1,0,0.3
163,2867,A,CAMPBELL,Frosinone,12,12,0,0.7
164,605,Pc,PERICA,Frosinone,11,11,0,0.6
165,213,Pc,DIONISI,Frosinone,10,10,0,0.55
166,2812,A,CIANO,Frosinone,10,10,0,0.9
167,551,Ds;E,MOLINARO,Frosinone,7,7,0,0.7
168,4,Por,SPORTIELLO,Frosinone,6,6,0,0.9
169,2038,Pc,PINAMONTI,Frosinone,6,6,0,0.5
170,57,M;C,CRISETIG,Frosinone,6,6,0,0.6
171,1952,Dd;Ds;E,ZAMPANO,Frosinone,6,6,0,0.65
172,418,Dc,GOLDANIGA,Frosinone,6,6,0,0.85
173,210,C;W;T,SODDIMO,Frosinone,6,6,0,0.5
174,2866,C;T,VLOET,Frosinone,6,6,0,0.55
175,212,Pc,CIOFANI D,Frosinone,5,5,0,
176,1865,Ds;Dc,CAPUANO,Frosinone,5,5,0,0.7
177,651,C,MAIELLO,Frosinone,5,5,0,0.8
178,626,M;C,HALLFREDSSON,Frosinone,4,4,0,0.75
179,1867,Dc,KRAJNC,Frosinone,4,4,0,0.55
180,515,Dc,ARIAUDO,Frosinone,4,4,0,0.55
181,491,Dc,SALAMON,Frosinone,4,4,0,0.7
182,202,M;C,CHIBSAH,Frosinone,3,3,0,0.65
183,2810,Dd;Ds;Dc,BRIGHENTI,Frosinone,3,3,0,0.45
184,207,W,PAGANINI,Frosinone,2,2,0,0.1
185,2872,Pc,ARDAIZ,Frosinone,2,2,0,0.45
186,2105,E,BEGHETTO,Frosinone,2,2,0,0.55
187,244,Dd;E,GHIGLIONE,Frosinone,2,2,0,0.65
188,2213,C,CASSATA,Frosinone,2,2,0,0.65
189,2862,Por,IACOBUCCI,Frosinone,1,1,0,0.4
190,799,Por,BARDI,Frosinone,1,1,0,0.45
191,209,M;C,SAMMARCO,Frosinone,1,1,0,0.55
192,205,M;C,GORI,Frosinone,1,1,0,0.45
193,2756,Pc,PIATEK,Genoa,13,13,0,0.8
194,2658,T;A,MEDEIROS,Genoa,12,12,0,0.8
195,1939,Pc,LAPADULA,Genoa,12,12,0,0.5
196,621,E;M,ROMULO,Genoa,12,12,0,0.9
