;Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.;Tit
396;127;Pc;PELLISSIER;Chievo;3;3;0;0.3
422;156;A;PUCCIARELLI;Chievo;4;4;0;0.45
426;118;"M;C";RADOVANOVIC;Chievo;8;8;0;0.9
442;119;"M;C";RIGONI N;Chievo;6;6;0;0.55
476;97;Por;SECULIN;Chievo;1;1;0;0.05
489;413;Por;SORRENTINO;Chievo;9;9;0;0.9
496;2327;Pc;STEPINSKI;Chievo;12;12;0;0.55
507;2663;Dc;TANASIJEVIC;Chievo;1;1;0;0.1
513;169;"Dd;Dc";TOMOVIC;Chievo;7;7;0;0.65
522;2829;"Dd;Dc";VALJENT;Chievo;2;2;0;0.35
534;2154;"T;A";VIGNATO;Chievo;1;1;0;0.3
43;2818;C;BENNACER;Empoli;5;5;0;0.9
71;56;"M;C";BRIGHI;Empoli;2;2;0;0.55
93;2819;Pc;CAPUTO;Empoli;13;13;0;0.9
156;2816;"Dd;E";DI LORENZO;Empoli;5;5;0;0.9
249;2838;"Ds;E";IMPERIALE;Empoli;1;1;0;0.4
255;2152;Pc;JAKUPOVIC;Empoli;1;1;0;0.4
281;148;"C;T";KRUNIC;Empoli;9;9;0;0.9
284;447;Pc;LA GUMINA;Empoli;12;12;0;0.85
300;83;C;LOLLO;Empoli;3;3;0;0.3
315;48;Dc;MAIETTA;Empoli;5;5;0;0.8
324;2753;Dc;MARCJANIK;Empoli;4;4;0;0.3
335;154;Pc;MCHEDLIDZE;Empoli;5;5;0;0.2
354;2750;Pc;MRAZ;Empoli;6;6;0;0.55
386;166;"Ds;E";PASQUAL;Empoli;7;7;0;0.9
421;2814;Por;PROVEDEL;Empoli;6;6;0;0.9
435;2752;Dc;RASMUSSEN;Empoli;3;3;0;0.45
445;718;Pc;RODRIGUEZ A;Empoli;2;2;0;0.5
451;76;Dc;ROMAGNOLI S;Empoli;5;5;0;0.3
509;2815;Por;TERRACCIANO;Empoli;1;1;0;0.4
519;2817;"Dd;E;M";UNTERSEE;Empoli;3;3;0;0.2
532;2064;"Dd;Ds;Dc";VESELI;Empoli;5;5;0;0.35
545;2124;T;ZAJC;Empoli;8;8;0;0.9
41;557;C;BENASSI;Fiorentina;11;11;0;0.9
57;252;"Ds;E";BIRAGHI;Fiorentina;6;6;0;0.85
98;1891;"Dd;Dc";CECCHERINI;Fiorentina;7;7;0;0.3
104;2002;"W;A";CHIESA;Fiorentina;25;25;0;0.9
127;2075;"M;C";CRISTOFORO;Fiorentina;2;2;0;0.35
134;2659;"M;C";DABO;Fiorentina;7;7;0;0.8
160;1918;"Dd;E";DIKS;Fiorentina;4;4;0;0.45
172;1917;Por;DRAGOWSKI;Fiorentina;1;1;0;0.3
184;2290;"W;T";EYSSERIC;Fiorentina;8;8;0;0.4
