,Nome,Mean19,STD19,QuotFin19
0,HIGUAIN,7.545764360733101,2.794628847753159,32.52292881474679
1,DYBALA,8.226612327474106,3.382494232416274,36.425940231989074
2,ICARDI,8.52667358823961,3.868006409477548,40.15991271474339
3,MANDZUKIC,6.206858207144123,1.3648953696871744,13.572802428429352
4,MILIK,7.827620073544377,2.4890743730151565,24.621924443700227
5,PAVOLETTI,6.300459814485345,1.277530097723832,14.814186365880667
6,ILICIC,6.862114040777217,2.118935573923961,23.17298534068614
7,INSIGNE,7.368958145122185,2.4088459371085635,30.323971753131463
8,BERARDI,6.884487271768032,2.009779478879194,22.707042155706052
9,BELOTTI,7.401457347735018,2.8379787774988623,29.805134525039108
10,EL SHAARAWY,6.333909227297481,1.5060440273998896,15.562776259227583
11,PJANIC,7.087404505118931,1.9659217331107182,25.08894116885911
12,CANDREVA,6.5094377838968915,1.292143412885422,13.813448551535704
13,DZEKO,7.863099801214995,2.9630324422114165,33.5032390113268
14,IMMOBILE,8.115157075370528,3.572923277143106,37.4480641650168
15,PALOSCHI,6.104823233217431,1.236731987648825,12.471927618892233
16,CALLEJON,7.032907708216987,1.9380120213881509,21.836691146550272
17,DESTRO,6.1016889583840195,1.6600449275311828,12.274142388083424
18,HAMSIK,6.55682128493728,1.504127585786628,19.090466133814033
19,PERISIC,7.318511099517829,2.648351185505492,27.7848350654906
20,THEREAU,6.081733596136587,1.4136146338579811,6.073248053808581
21,NAINGGOLAN,7.0783745280562,2.0558174494956885,25.809575369100358
22,SAPONARA,5.867436167257388,0.9989803013988442,7.862764516351041
23,BONAVENTURA,7.274609675883202,2.0945960609067384,22.478589267443333
24,BORJA VALERO,5.985734045641504,0.8866956590773936,6.991769532810695
25,DEFREL,6.35171318197285,1.750022733520694,16.418528070895924
26,FLORENZI,7.150409188605666,1.6028661055093543,21.951021991695587
27,LAPADULA,5.901333840745394,1.0554475104827141,6.949736589220911
28,PEROTTI,6.840809699249095,1.6775206055008396,18.270969261307673
29,QUAGLIARELLA,6.851678697513312,2.3594668080062666,23.342996704574226
30,ALEX SANDRO,7.009436560534213,1.8946501531101283,24.24204467921564
31,ALLAN,6.578974604444715,1.3997960207464495,19.370223815229767
32,BIGLIA,6.167546410031505,1.1790060106896905,14.361622416712894
33,BONUCCI,6.435064372406156,1.296422698214441,17.94508065120432
34,BROZOVIC,6.633938104691864,1.7422088399930293,16.958249481959896
35,CUADRADO,6.896918509591024,1.7075968597948628,18.683945477556165
36,HANDANOVIC,6.049435871512592,1.5725252435864732,21.976116384872345
37,LJAJIC,6.867410627738515,1.8185549623160946,19.1534979918419
38,MERTENS,7.849139597287783,2.8447773160400947,31.580376355004375
39,SAU,5.533329262441283,0.8217441721149447,3.812408261974414
40,ACERBI,6.312226923787207,1.2571890989985532,16.011279708482057
41,BERNARDESCHI,7.44472518156025,2.3589307366335457,22.039619851098703
42,CAPRARI,6.085898985881131,1.4830200400803861,10.689412958624656
43,FARIAS,6.13044781833074,1.2382675595789092,8.916908666286108
44,KHEDIRA,6.558057881722586,1.7909921774213617,18.525832087424682
45,MANOLAS,6.306003068678512,1.2008545017822843,17.306618584134007
46,MEGGIORINI,5.6882453802143615,0.8498664814251501,5.118152394840641
47,MIRANDA,6.129576987156926,0.8786643702966659,9.624874108199489
48,PAROLO,6.04268924378609,1.3139940329969257,16.348638535016782
49,PRAET,5.763222789375114,0.8574495839000792,9.442594312153693
50,REINA,4.633264456075339,0.21564548666678526,4.629248340642008
51,SZCZESNY,5.359236317225093,1.0616629611833956,12.69445412915832
52,BABACAR,6.208810840605126,1.2453601641518819,9.384077677693337
53,BARZAGLI,6.169686496554432,0.6875431295654377,7.7194782886088005
54,BIRSA,6.204079431062963,1.3724340073651897,14.60868821908936
55,CONSIGLI,4.785369820375846,1.1669905649478909,13.526121808713842
56,GIACCHERINI,6.252642571934884,1.2385666894527512,13.658704071880633
57,JOAO PEDRO,6.410494039504979,1.65043948665661,14.32807372234773
58,MARCHISIO,6.2980300003467,0.8364034218067868,8.025352022413129
59,RINCON,5.313086900876736,0.24434952587808698,6.505698707967343
60,ZIELINSKI,6.133088949622349,1.0517978949165614,13.457633040325604
61,ANSALDI,5.954818538681465,1.0470716084201823,12.319787999772375
62,BASELLI,5.713188902421081,1.0696157985350134,11.766532104122595
63,CHIELLINI,6.996364713585372,1.4161066076408293,20.269144943288264
64,IONITA,6.077507792552046,0.9075192053098083,8.833356561136666
65,KOULIBALY,6.697846026128713,1.5536493155373088,21.323479825278234
66,KREJCI,5.447286079711116,0.695357035060555,2.5453849371265367
67,MISSIROLI,6.06971650957998,0.8758477671804415,7.599034671714602
68,PALACIO,6.279591597759304,1.1529368367963941,10.490487421376319
69,PERIN,6.262619616837288,1.456152823810798,13.03132382336776
70,PUCCIARELLI,5.536999482629623,0.9760851839498482,5.079918171072553
71,ROG,5.989606655127408,0.890710268162517,7.0765471283921055
72,SIMEONE,7.069322340104752,2.4410591351202906,25.477524615243745
73,SPORTIELLO,5.4961728850861675,1.4030985023659477,20.4056321519541
74,VECINO,6.215691795020205,1.300504678716959,11.20978989222809
75,ANTONELLI,5.794452022540528,0.8335154338537739,2.778676646418015
76,CASTRO,6.124311751842817,1.5454811888560929,14.37029571964764
77,DUNCAN,6.142752655159881,1.1597152470088052,12.667690745453328
78,INGLESE,6.642562013515344,1.8648930841170244,12.83457095043305
79,LAXALT,5.942399289761436,1.1810999285440296,11.586794723241795
80,MIRANTE,5.40648079222023,1.166981991874188,9.055948595836227
